table,sequence_id,column,datatype,description
,,,,
geofile324,1,id,int,Geofile for: State- Metropolitan Statistical Area/Metropolitan Division-County
geofile324,2,fileid,str,Always equal to ACS Summary File identification
geofile324,3,stusab,str,State Postal Abbreviation
geofile324,4,sumlevel,int,Summary Level
geofile324,5,component,str,Geographic Component
geofile324,6,logrecno,int,Logical Record Number
geofile324,7,state,int,State (FIPS Code)
geofile324,8,county,int,County of current residence
geofile324,9,cbsa,int,Metropolitan and Micropolitan Statistical Area
geofile324,10,metdiv,int,Metropolitan Statistical Area-Metropolitan Division
geofile324,11,memi,int,Metropolitan/Micropolitan Indicator Flag
geofile324,12,geoid,str,Geographic Identifier
geofile324,13,name,str,Area Name
,,,,
geofile860,1,id,int,Geofile for: 5-digit ZIP Code Tabulation Area
geofile860,2,fileid,str,Always equal to ACS Summary File identification
geofile860,3,stusab,str,State Postal Abbreviation
geofile860,4,sumlevel,int,Summary Level
geofile860,5,component,str,Geographic Component
geofile860,6,logrecno,int,Logical Record Number
geofile860,7,zcta5,str,5-digit ZIP Code Tabulation Area
geofile860,8,geoid,str,Geographic Identifier
geofile860,9,name,str,Area Name
,,,,
geofile311,1,id,int,Geofile for: CBSA-State-County
geofile311,2,fileid,str,Always equal to ACS Summary File identification
geofile311,3,stusab,str,State Postal Abbreviation
geofile311,4,sumlevel,int,Summary Level
geofile311,5,component,str,Geographic Component
geofile311,6,logrecno,int,Logical Record Number
geofile311,7,state,int,State (FIPS Code)
geofile311,8,cbsa,int,Metropolitan and Micropolitan Statistical Area
geofile311,9,geoid,str,Geographic Identifier
geofile311,10,name,str,Area Name
,,,,
geofile252,1,id,int,Geofile for: American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)4
geofile252,2,fileid,str,Always equal to ACS Summary File identification
geofile252,3,stusab,str,State Postal Abbreviation
geofile252,4,sumlevel,int,Summary Level
geofile252,5,component,str,Geographic Component
geofile252,6,logrecno,int,Logical Record Number
geofile252,7,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile252,8,aihhtli,str,American Indian Trust Land/Hawaiian Home Land Indicator
geofile252,9,geoid,str,Geographic Identifier
geofile252,10,name,str,Area Name
,,,,
geofile283,1,id,int,Geofile for: State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)
geofile283,2,fileid,str,Always equal to ACS Summary File identification
geofile283,3,stusab,str,State Postal Abbreviation
geofile283,4,sumlevel,int,Summary Level
geofile283,5,component,str,Geographic Component
geofile283,6,logrecno,int,Logical Record Number
geofile283,7,state,int,State (FIPS Code)
geofile283,8,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile283,9,aihhtli,str,American Indian Trust Land/Hawaiian Home Land Indicator
geofile283,10,geoid,str,Geographic Identifier
geofile283,11,name,str,Area Name
,,,,
geofile366,1,id,int,Geofile for: State-New England City and Town Area (NECTA)-NECTA Division-County-County Subdivision
geofile366,2,fileid,str,Always equal to ACS Summary File identification
geofile366,3,stusab,str,State Postal Abbreviation
geofile366,4,sumlevel,int,Summary Level
geofile366,5,component,str,Geographic Component
geofile366,6,logrecno,int,Logical Record Number
geofile366,7,state,int,State (FIPS Code)
geofile366,8,county,int,County of current residence
geofile366,9,cousub,int,County Subdivision (FIPS)
geofile366,10,necta,str,New England City and Town Area
geofile366,11,nectadiv,str,New England City and Town Area Division
geofile366,12,geoid,str,Geographic Identifier
geofile366,13,name,str,Area Name
,,,,
geofile620,1,id,int,Geofile for: State House District
geofile620,2,fileid,str,Always equal to ACS Summary File identification
geofile620,3,stusab,str,State Postal Abbreviation
geofile620,4,sumlevel,int,Summary Level
geofile620,5,component,str,Geographic Component
geofile620,6,logrecno,int,Logical Record Number
geofile620,7,state,int,State (FIPS Code)
geofile620,8,sldl,str,State Legislative District Lower
geofile620,9,geoid,str,Geographic Identifier
geofile620,10,name,str,Area Name
,,,,
geofile30,1,id,int,Geofile for: Division
geofile30,2,fileid,str,Always equal to ACS Summary File identification
geofile30,3,stusab,str,State Postal Abbreviation
geofile30,4,sumlevel,int,Summary Level
geofile30,5,component,str,Geographic Component
geofile30,6,logrecno,int,Logical Record Number
geofile30,7,division,str,Census Division
geofile30,8,memi,int,Metropolitan/Micropolitan Indicator Flag
geofile30,9,ur,str,Urban/Rural
geofile30,10,pci,str,Principal City Indicator
geofile30,11,geoid,str,Geographic Identifier
geofile30,12,name,str,Area Name
,,,,
geofile358,1,id,int,Geofile for: New England City and Town Area (NECTA)-NECTA Division-State-County-County Subdivision
geofile358,2,fileid,str,Always equal to ACS Summary File identification
geofile358,3,stusab,str,State Postal Abbreviation
geofile358,4,sumlevel,int,Summary Level
geofile358,5,component,str,Geographic Component
geofile358,6,logrecno,int,Logical Record Number
geofile358,7,state,int,State (FIPS Code)
geofile358,8,county,int,County of current residence
geofile358,9,cousub,int,County Subdivision (FIPS)
geofile358,10,necta,str,New England City and Town Area
geofile358,11,nectadiv,str,New England City and Town Area Division
geofile358,12,geoid,str,Geographic Identifier
geofile358,13,name,str,Area Name
,,,,
geofile353,1,id,int,Geofile for: New England City and Town Area-State-County
geofile353,2,fileid,str,Always equal to ACS Summary File identification
geofile353,3,stusab,str,State Postal Abbreviation
geofile353,4,sumlevel,int,Summary Level
geofile353,5,component,str,Geographic Component
geofile353,6,logrecno,int,Logical Record Number
geofile353,7,state,int,State (FIPS Code)
geofile353,8,county,int,County of current residence
geofile353,9,necta,str,New England City and Town Area
geofile353,10,geoid,str,Geographic Identifier
geofile353,11,name,str,Area Name
,,,,
geofile622,1,id,int,Geofile for: State House District-County
geofile622,2,fileid,str,Always equal to ACS Summary File identification
geofile622,3,stusab,str,State Postal Abbreviation
geofile622,4,sumlevel,int,Summary Level
geofile622,5,component,str,Geographic Component
geofile622,6,logrecno,int,Logical Record Number
geofile622,7,state,int,State (FIPS Code)
geofile622,8,county,int,County of current residence
geofile622,9,sldl,str,State Legislative District Lower
geofile622,10,geoid,str,Geographic Identifier
geofile622,11,name,str,Area Name
,,,,
geofile290,1,id,int,Geofile for: American Indian Area/Alaska Native Area/Hawaiian Home Land-Tribal Subdivision/Remainder-State
geofile290,2,fileid,str,Always equal to ACS Summary File identification
geofile290,3,stusab,str,State Postal Abbreviation
geofile290,4,sumlevel,int,Summary Level
geofile290,5,component,str,Geographic Component
geofile290,6,logrecno,int,Logical Record Number
geofile290,7,state,int,State (FIPS Code)
geofile290,8,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile290,9,aitsce,str,American Indian Tribal Subdivision (Census)
geofile290,10,geoid,str,Geographic Identifier
geofile290,11,name,str,Area Name
,,,,
geofile251,1,id,int,Geofile for: American Indian Area/Alaska NativeArea/HawaiianHomeLand-Tribal Subdivision/Remainder
geofile251,2,fileid,str,Always equal to ACS Summary File identification
geofile251,3,stusab,str,State Postal Abbreviation
geofile251,4,sumlevel,int,Summary Level
geofile251,5,component,str,Geographic Component
geofile251,6,logrecno,int,Logical Record Number
geofile251,7,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile251,8,aitsce,str,American Indian Tribal Subdivision (Census)
